run_accession	library_strategy	sample_alias
SRR6159157	AMPLICON	SAM_mouse_B
SRR6159158	AMPLICON	SAM_mouse_B
SRR6159159	AMPLICON	SAM_mouse_B
SRR6159160	AMPLICON	SAM_mouse_B
SRR6159161	AMPLICON	SAM_mouse_B
SRR6159162	AMPLICON	SAM_mouse_B
SRR6159163	AMPLICON	SAM_mouse_B
SRR6159164	AMPLICON	SAM_mouse_B
SRR6159165	AMPLICON	SAM_mouse_E
SRR6159166	AMPLICON	SAM_mouse_E
SRR6159167	AMPLICON	SAM_mouse_E
SRR6159168	AMPLICON	SAM_mouse_E
SRR6159169	AMPLICON	SAM_mouse_E
SRR6159170	AMPLICON	SAM_mouse_E
SRR6159171	AMPLICON	SAM_mouse_E
SRR6159172	AMPLICON	SAM_mouse_E
SRR6159173	AMPLICON	SAM_mouse_E
SRR6159174	AMPLICON	SAM_mouse_E
SRR6159175	AMPLICON	SAM_mouse_F
SRR6159176	AMPLICON	SAM_mouse_F
SRR6159177	AMPLICON	SAM_mouse_F
SRR6159178	AMPLICON	SAM_mouse_F
