run_accession	sample_alias
ERR2235290	RCC_I_025_T0
ERR2235291	RCC_I_025_T1
ERR2235292	RCC_I_025_T2
ERR2235293	RCC_I_026_T0
ERR2235294	RCC_I_026_T1
ERR2235295	RCC_I_026_T2
ERR2235296	RCC_I_027_T1
ERR2235297	RCC_I_030_T0
ERR2235298	RCC_I_030_T1
ERR2235299	RCC_I_030_T2
ERR2235300	RCC_I_033_T0
ERR2235301	RCC_I_034_T0
ERR2235302	RCC_I_034_T2
ERR2235303	RCC_I_035_T0
ERR2235304	RCC_I_036_T0
ERR2235305	RCC_I_036_T1
ERR2235306	RCC_I_037_T0
ERR2235307	RCC_I_037_T1
ERR2235308	RCC_I_037_T2
ERR2235309	RCC_I_038_T0
ERR2235310	RCC_I_038_T2
ERR2235311	RCC_I_039_T0
ERR2235312	RCC_I_039_T1
ERR2235313	RCC_I_040_T0
ERR2235314	RCC_I_040_T1
ERR2235315	RCC_I_041_T0
ERR2235316	RCC_I_042_T0
ERR2235317	RCC_I_043_T0
ERR2235318	RCC_I_044_T0
ERR2235319	RCC_I_045_T0
ERR2235320	RCC_I_047_T0
ERR2235321	RCC_I_049_T0
ERR2235322	RCC_I_051_T0
ERR2235323	RCC_I_052_T0
ERR2235324	RCC_I_054_T1
ERR2235325	RCC_I_055_T1
ERR2235326	RCC_I_056_T0
ERR2235327	RCC_I_057_T0
ERR2235328	RCC_I_058_T0
ERR2235329	RCC_I_059_T0
ERR2235330	RCC_I_060_T0
ERR2235331	RCC_I_061_T0
ERR2235332	RCC_I_062_T0
ERR2235333	RCC_I_063_T0
ERR2235334	RCC_I_064_T0
ERR2235335	RCC_I_065_T0
ERR2235336	RCC_I_066_T0
ERR2235337	RCC_I_068_T0
ERR2235338	RCC_I_069_T0
ERR2235339	RCC_I_070_T0
ERR2235340	RCC_I_072_T0
ERR2235341	RCC_I_073_T0
ERR2235342	RCC_I_074_T1
ERR2235343	RCC_I_075_T0
ERR2235344	RCC_I_076_T0
